,0,1
198,"  Off Ajegunle Bus Stop, Lagos -abeokuta Expressway, Ijaiye, Lagos",₦
199,"  Off Herbert Macauley Way, Adekunle, Yaba, Lagos",₦
200,"  Off Herbert Macauley, Adekunle, Yaba, Lagos",₦
201,"  Alpha Beach Road, Admiralty Estate, Lekki Phase 2, Lekki, Lagos",₦
202,"  Eletu Estate, Osapa, Lekki, Lagos",₦
203,"  Admiralty Road, Lekki Phase 1, Lekki Phase 1, Lekki, Lagos",₦
204,"  Abiola Court, Kushenla Road,, Ikate Elegushi, Lekki, Lagos",₦
205,"  Onanefe Schuler, Off Ado Road, Ajah, Lagos","3,000,000"
206,"  Pinnock Beach Estate, Jakande, Lekki, Lagos","1,000,000"
207,"  Elesan Village, Off Orchid Road, Lekki, Lagos, Lekki Phase 2, Lekki, Lagos","3,000,000"
208,"  Olive Park Estate., Ogombo, Ajah, Lagos","1,900,000"
209,"  Ikate Elegushi, Lekki, Lagos","2,500,000"
210,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","3,000,000"
211,"  Adewale Street, Badore, Ajah, Lagos","3,500,000"
212,"  Behind Spar Supermarket By House On The Rock Church, Lekki, Lagos","12,000,000"
213,"  Efab Queens Estate 6th Avenue After Charlie Boy., Gwarinpa, Abuja","13,000,000"
214,"  Lekki Phase 1, Lekki, Lagos","6,000,000"
215,"  Lekki Conservation Centre Orchid Road, Lafiaji, Lekki, Lagos","23,000,000"
216,"  Chevron, Lekki, Lagos","25,000,000"
217,"  Banana Island, Ikoyi, Lagos","3,000,000"
218,"  Banana Island, Ikoyi, Lagos","18,000,000"
219,"  Banana Island, Ikoyi, Lagos","1,300,000"
220,"  Banana Island, Ikoyi, Lagos","120,000"
221,"  Banana Island, Ikoyi, Lagos","110,000"
222,"  Westend Estate, Lekki Phase 2, Lekki, Lagos","150,000"
223,"  Banana Island, Ikoyi, Lagos","65,000"
224,"  A Nice Street Off Lawal, Oregun, Ikeja, Lagos","250,000"
225,"  Agbowo, Ibadan, Oyo","180,000"
226,"  Major Salau, Agbowo, Ibadan, Oyo",₦
227,"  Major Salau, Agbowo, Ibadan, Oyo",₦
228,"  Libra Kitchen Street, Agbowo, Ibadan, Oyo",₦
229,"  Ajibode, Ibadan, Oyo",₦
230,"  Alafia Estate, Ajibode, Ibadan, Oyo",₦
231,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",₦
232,"  Iyana Bodija Axis, Old Bodija, Ibadan, Oyo",₦
233,"  Orchid Hotel Road, Ikota, Lekki, Lagos",₦
234,"  Estate, Idado, Lekki, Lagos",₦
235,"  Pengason Estate, Lokogoma District, Abuja",₦
236,"  Estate, Idado, Lekki, Lagos",₦
237,"  Salem Before Osapa London, Ilasan, Lekki, Lagos",₦
238,"  Victoria Island (VI), Lagos",₦
239,"  Lagasa Town, Oribanwa, Ibeju Lekki, Lagos",₦
240,"  Eleganza Garden Estate, VGC, Lekki, Lagos",₦
241,"  Ilasan, Lekki, Lagos",₦
242,"  Victoria Island (VI), Lagos",₦
243,"  Close To Ogolonto, Ebute, Ikorodu, Lagos",₦
244,"  Ikate Elegushi, Lekki, Lagos",₦
245,"  Parkview, Ikoyi, Lagos",₦
246,"  Bayeku, Ikorodu, Lagos","3,000,000"
247,"  Redeemed Junction Owode, Ogombo, Ajah, Lagos","400,000"
248,"  Eliozu, Port Harcourt, Rivers","4,300,000"
249,"  Oniru, Victoria Island (VI), Lagos","4,000,000"
250,"  Oniru, Victoria Island (VI), Lagos","3,000,000"
251,"  Sas Road, Rukpokwu, Port Harcourt, Rivers","300,000"
252,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","10,000,000"
253,"  Ado, Ajah, Lagos","6,000,000"
254,"  Oniru, Victoria Island (VI), Lagos","5,000,000"
255,"  Chevy View Estate Chevron, Lekki Phase 1, Lekki, Lagos","800,000"
256,"  Alausa, Ikeja, Lagos","1,000,000"
257,"  Greenville Estate, Badore, Ajah, Lagos","3,000,000"
258,"  Banana Island, Ikoyi, Lagos","750,000"
259,"  Milverton Road, Near Nnpc Head Office, Old Ikoyi, Ikoyi, Lagos","3,500,000"
260,"  Lekki Phase 1, Lekki, Lagos","250,000"
261,"  Ago Palace, Isolo, Lagos","1,000,000"
262,"  Moshubolaji, Ago Palace, Isolo, Lagos","1,500,000"
263,"  Elrufai Estate By Living Faith Church, Lokogoma District, Abuja","9,000,000"
264,"  Lekki Phase 1, Lekki, Lagos","3,500,000"
265,"  Ahmadu Bello Street, Victoria Island (VI), Lagos","450,000"
266,"  Off Iyana Agbala Sekunderin Area, Alakia, Ibadan, Oyo","45,000"
267,"  Berra Estate, Idado, Lekki, Lagos",₦
268,"  Estate, Gwarinpa, Abuja",₦
269,"  Banana Island, Ikoyi, Lagos",₦
270,"  Ikota, Lekki, Lagos",₦
271,"  Ogombo Round About, Ogombo, Ajah, Lagos",₦
272,"  Off Kofo Abayomi Street, Victoria Island (VI), Lagos",₦
273,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",₦
274,"  Sahara 2 Estate, Lokogoma District, Abuja",₦
275,"  Right Side, Lekki Phase 1, Lekki, Lagos",₦
276,"  Off Kofo Abayomi, Victoria Island (VI), Lagos",₦
277,"  Off Boudillon Road, Old Ikoyi, Ikoyi, Lagos",₦
278,"  Manbilla Court, Osborne, Ikoyi, Lagos",₦
279,"  Walter Carrington, Victoria Island (VI), Lagos",₦
280,"  Marjek Bus Stop In An Estate, Sangotedo, Ajah, Lagos",₦
281,"  Alabeko Estate (now Known As Lekki Atlantic Estate) Behind Lekki Garde, Sangotedo, Ajah, Lagos",₦
282,"  Along Express Road, Lakowe, Ibeju Lekki, Lagos",₦
283,"  Pinnock Beach Estate, Osapa, Lekki, Lagos",₦
284,"  Banana Island, Ikoyi, Lagos",₦
285,"  Life Camp, Gwarinpa, Abuja",₦
286,"  Life Camp, Gwarinpa, Abuja",$
287,"  Shell Cooperative, Eneka, Port Harcourt, Rivers","3,000,000"
288,"  Thomas Estate, Ajah, Lagos","250,000"
289,"  Old Ikoyi, Ikoyi, Lagos","3,500,000"
290,"  Off Adeola Odeku, Victoria Island Extension, Victoria Island (VI), Lagos","3,500,000"
291,"  Awolowo Road, Falomo, Ikoyi, Lagos","4,000,000"
