,0,1
35857,"  Katampe (Main), Katampe, Abuja","9,000,000"
35858,"  Along St Finbarrs Rd, Akoka, Yaba, Lagos","2,000,000"
35859,"  Close To Pako Bus Stop, Akoka, Yaba, Lagos","1,000,000"
35860,"  Close To Admiralty House On A Castle And Temple Street, Lekki Phase 1, Lekki, Lagos","1,000,000"
35861,"  Banana Island, Ikoyi, Lagos","5,000,000"
35862,"  Lekki Phase 1, Lekki, Lagos","500,000"
35863,"  Agbowo, Close To Bodija Market, Old Bodija, Ibadan, Oyo",₦
35864,"  Kolapo Ishola, Akobo, Ibadan, Oyo",₦
35865,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",₦
35866,"  A3 Area Close To Railway, Akobo, Ibadan, Oyo",₦
35867,"  Victoria Island Extension, Victoria Island (VI), Lagos",₦
35868,"  Off Ogunlana Drive, Ogunlana, Surulere, Lagos",₦
35869,"  Lekki Conservation Road By Second Toll Gate, Lekki, Lagos",₦
35870,"  5 Chuks Oyebuchi Street, Lekki Phase 1, Lekki, Lagos",₦
35871,"  Pioneer Road, Osapa, Lekki, Lagos",₦
35872,"  18 Emma Abimbola Cole, Lekki Phase 1, Lekki, Lagos",₦
35873,"  By Gilmore Yard Opposite Katampe Extension, By Pass, Jahi, Abuja",₦
35874,"  Off Fola Osibo Street, Lekki Phase 1, Lekki, Lagos",₦
35875,"  Lekki Conservation Centre Road, Lekki, Lagos",₦
35876,"  Off Aminu Kano Crescent, Wuse 2, Abuja",₦
35877,"  Alapere, Ketu, Lagos",₦
35878,"  Off Estate Road, Alapere, Ketu, Lagos",₦
35879,"  Ikota, Lekki, Lagos",₦
35880,"  Mambilla Estate, Mambilla Close, Osborne Phase 1, Ikoyi, Lagos",₦
35881,"  Peninsula Garden Estate, Ajah, Lagos",₦
35882,"  Yaba, Lagos",₦
35883,"  Yaba, Lagos","3,000,000"
35884,"  Ikeja GRA, Ikeja, Lagos","4,000,000"
35885,"  Close To Shoprite, GRA, Apapa, Lagos","1,000,000"
35886,"  Lekki Phase 1, Lekki, Lagos","5,000,000"
35887,"  Chevy View Estate Chevron, Lekki, Lagos","4,500,000"
35888,"  Orchid, 2nd Lekki Toll Gate, Lekki, Lagos","3,000,000"
35889,"  Chevron, Lekki, Lagos","4,000,000"
35890,"  Atunrase Estates, Medina, Gbagada, Lagos","650,000"
35891,"  Mbora, Abuja","1,800,000"
35892,"  Yaba, Lagos","7,000,000"
35893,"  Ikota Villa Estate, Ikota, Lekki, Lagos","3,500,000"
35894,"  Igboelerin, Iba, Ojo, Lagos","60,000"
35895,"  Ikota Villa Estste Behind Mega Chicken, Ikota, Lekki, Lagos","120,000"
35896,"  Idomota Marina C-m-c, Idumota, Lagos Island, Lagos","100,000"
35897,"  Mabuchi, Abuja","3,000,000"
35898,"  Lekki Ajah Addo Road, Ado, Ajah, Lagos","10,000,000"
35899,"  Powerline Estate, Ado, Ajah, Lagos","1,500,000"
35900,"  Primewaterview Estate, Lekki Phase 1, Lekki, Lagos","2,000,000"
35901,"  Igbo Efon, Lekki, Lagos","400,000"
35902,"  Sura Mogaji, Ilupeju, Lagos","2,700,000"
35903,"  Royal Garden Estate, Ajah, Lagos","450,000"
35904,"  Ologolo, Lekki, Lagos",₦
35905,"  Off Nnobi, Kilo, Surulere, Lagos",₦
35906,"  Ajao Estate, Ikeja, Lagos",₦
35907,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",₦
35908,"  Abiola Court, Ikate Elegushi, Lekki, Lagos",₦
35909,"  Within Blenco Supermarket In A Secured, Sangotedo, Ajah, Lagos",₦
35910,"  Dolphin, Osborne, Ikoyi, Lagos",₦
35911,"  New Market Road., Jakande, Lekki, Lagos",₦
35912,"  Chevron, Lekki, Lagos",₦
35913,"  Lekki Phase 1, Lekki, Lagos",₦
35914,"  New Layout Estate Rumuewhara Off Rumuokwurusi Tank, Rumuodara, Port Harcourt, Rivers",₦
35915,"  Oral Estate, Ikota, Lekki, Lagos",₦
35916,"  Banana Island, Ikoyi, Lagos",₦
35917,"  Rev Ogunbiyi Street, Ikeja GRA, Ikeja, Lagos",₦
35918,"  Off Ojoo Expressway, Ojoo, Ibadan, Oyo",₦
35919,"  Ojokoro Newtown Agric ., Agric, Ikorodu, Lagos",₦
35920,"  Along Offin Road, Ikorodu, Lagos",₦
35921,"  Oregun, Ikeja, Lagos",₦
35922,"  Off 2nd Avenue, Banana Island, Ikoyi, Lagos",₦
35923,"  Ologolo, Lekki, Lagos",₦
35924,"  Jahi, Abuja","3,000,000"
35925,"  Fountain Estate, Badore, Ajah, Lagos","6,500,000"
35926,"  By Four Point, Oniru, Victoria Island (VI), Lagos","7,000,000"
35927,"  Majek, Sangotedo, Ajah, Lagos","3,500,000"
35928,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","4,500,000"
35929,"  Osapa, Lekki, Lagos","1,000,000"
35930,"  Off Ado Road, Ado, Ajah, Lagos","1,200,000"
35931,"  Off Ado Road, Ajah, Lagos","5,000,000"
35932,"  Off Ado Road, Ado, Ajah, Lagos","900,000"
35933,"  Admiralty Way, Lekki Phase 1, Lekki, Lagos","3,000,000"
35934,"  Ado Badore Road, Ajah, Lagos","3,000,000"
35935,"  Lekki County Homes, Ikota Villa Estate, Lekki, Lagos","2,500,000"
35936,"  Mega Mound Estate, Lekki County Homes, Ikota, Lekki Phase 2, Lekki, Lagos","4,500,000"
35937,"  Lekki Scheme 2, Lekki Phase 2, Lekki, Lagos","1,200,000"
35938,"  Chevron Alternative Road, Lekki Phase 2, Lekki, Lagos","1,000,000"
35939,"  Cipm Road, By Neca House, Behind Fela Shrine, Cbd, Alausa, Ikeja, Lagos","4,000,000"
35940,"  Lekki Phase 1, Lagos, Lekki Phase 1, Lekki, Lagos","1,500,000"
35941,"  Lekki Phase 2, Lagos, Lekki Phase 2, Lekki, Lagos","3,000,000"
35942,"  Off Yakubu Gowon Way, Asokoro District, Abuja","700,000"
35943,"  Ikota, Lekki, Lagos","700,000"
35944,"  Behind Lbs, Sangotedo, Ajah, Lagos","1,500,000"
35945,"  Chevron Drive, Lekki Expressway, Lekki, Lagos",₦
35946,"  Off Skymall, Sangotedo, Ajah, Lagos",₦
35947,"  Mandela Estate Off Sars Road, Port Harcourt, Rivers",₦
35948,"  Wuye, Abuja",₦
35949,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",₦
35950,"  Lekki Phase 1, Lekki, Lagos",₦
35951,"  Oniru, Victoria Island (VI), Lagos",₦
35952,"  Lekki Phase 1, Lekki, Lagos",₦
35953,"  Lekki Phase 1, Lekki, Lagos",₦
35954,"  Lekki Phase 1, Lekki, Lagos",₦
35955,"  Wuse 2, Abuja",₦
35956,"  Lekki Phase 1, Lekki, Lagos",₦
35957,"  Off Emily Akinola Street., Akoka, Yaba, Lagos",₦
35958,"  Oniru, Victoria Island (VI), Lagos",₦
35959,"  Grace Ville Court, Ilasan, Lekki, Lagos",₦
35960,"  Alpha Beach Road, Lekki Epe Express Way, Igbo Efon, Lekki, Lagos",₦
35961,"  1004 Estate Cluster D Low Rise, Victoria Island (VI), Lagos",₦
35962,"  Alagomeji, Yaba, Lagos",₦
35963,"  Alagomeji, Yaba, Lagos",₦
35964,"  Victoria Bay Estate, Lafiaji, Lekki, Lagos",₦
35965,"  Sabo, Yaba, Lagos","3,000,000"
35966,"  Off Glover Road, Old Ikoyi, Ikoyi, Lagos","4,000,000"
35967,"  Estate, Agungi, Lekki, Lagos","3,200,000"
35968,"  Akoka, Yaba, Lagos","2,800,000"
35969,"  Olaleye Estate, Iponri, Surulere, Lagos","10,000,000"
35970,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","2,500,000"
35971,"  Off Coker Road, Ilupeju, Lagos","1,200,000"
35972,"  Odd Odo Eran, Itire-Ikate, Surulere, Lagos","4,500,000"
35973,"  Bankolemo Off Akerele, Ogunlana, Surulere, Lagos","1,300,000"
35974,"  Close To Admiralty Way Inside, Lekki Phase 1, Lekki, Lagos","1,300,000"
35975,"  Thomas Estate, Ajah, Lagos","3,000,000"
35976,"  Thomas Estate, Ajah, Lagos","1,200,000"
35977,"  Kingsley Emu Street Off Admiralty, Lekki Phase 1, Lekki, Lagos","4,000,000"
35978,"  By Lagos Business School, Olokonla, Ajah, Lagos","4,500,000"
35979,"  Thomas Estate, Ajah, Lagos","650,000"
35980,"  Seaside Estate, Badore, Ajah, Lagos","3,000,000"
35981,"  Losoro, Lakowe School Gate, Lakowe, Ibeju Lekki, Lagos","1,000,000"
35982,"  Ikota, Lekki, Lagos","3,500,000"
35983,"  Ikota, Lekki, Lagos","2,500,000"
35984,"  Igbo Efon, Lekki, Lagos","1,000,000"
35985,"  Banana Island, Ikoyi, Lagos","50,000"
35986,"  Ridgemond Gate Estate, Ikate Elegushi, Lekki, Lagos",₦
35987,"  Twins Fajia Supermarket Street Ipaye, Iba, Ojo, Lagos",₦
35988,"  By Herbert Macaulay/ Finbarrs Road, Akoka, Yaba, Lagos",₦
35989,"  Thomas Estate, Ajah, Lagos",₦
35990,"  Chevron Road, Lekki, Lagos",₦
35991,"  Lekki Phase 1, Lekki, Lagos",₦
35992,"  Northern Fosho Estate, Lekki, Lagos",₦
35993,"  Victoria Bay Estate, Lafiaji, Lekki, Lagos",₦
35994,"  Off Orchid Hotel Road, Lafiaji, Lekki, Lagos",₦
35995,"  Off Admiralty, Lekki Phase 1, Lekki, Lagos",₦
35996,"  Ocean Breeze Estate, Lekki, Lagos",₦
35997,"  Off Mobil/ilaje Road, By Ajah Bridge, Lekki Expressway, Lekki, Lagos",₦
35998,"  Lekki Phase 1, Lekki, Lagos",₦
35999,"  Lekki Phase 2, Lekki, Lagos",₦
36000,"  Atunrase Estate, Medina, Gbagada, Lagos",₦
36001,"  Lekki Phase 2, Lekki, Lagos",₦
36002,"  Ipent7 Estate., Karsana, Abuja",₦
36003,"  Oniru, Victoria Island (VI), Lagos",₦
36004,"  Jakande Shoprite Road, Osapa, Lekki, Lagos",₦
36005,"  69road, Gwarinpa, Abuja",₦
36006,"  Audu Ogbe Street, Jabi, Abuja","3,000,000"
36007,"  Lbs, Olokonla, Ajah, Lagos","4,000,000"
36008,"  Ikota Gra, Lekki Phase 2, Lekki, Lagos","1,200,000"
36009,"  Rasaq Balogun Street, Adeniran Ogunsanya, Surulere, Lagos","60,000"
36010,"  Divine Estate, Ago Palace, Isolo, Lagos","650,000"
36011,"  Agididingbi, Alausa, Ikeja, Lagos","800,000"
36012,"  Lekki Phase 1, Lekki, Lagos","4,500,000"
36013,"  Ikeja GRA, Ikeja, Lagos","800,000"
36014,"  Green Estate, Festac, Amuwo Odofin, Lagos","500,000"
36015,"  Orchid, Lekki, Lagos","299,999"
36016,"  By Fcmb Bank, Okota, Isolo, Lagos","250,000"
36017,"  Lekki Phase 1, Lekki, Lagos","550,000"
36018,"  Lekki Phase 1, Lekki, Lagos","8,000,000"
36019,"  Onipanu, Shomolu, Lagos","500,000"
36020,"  Estate Before Akins Estate, Ado, Ajah, Lagos","45,000"
36021,"  Off Omorinre Johnson Street, Lekki Phase 1, Lekki, Lagos","2,000,000"
36022,"  Off Awolowo Way, Off Allen Avenue, Ikeja, Lagos","900,000"
36023,"  Oluyole Estate, Ibadan, Oyo","300,000"
36024,"  By American International School, Garki, Abuja","800,000"
36025,"  Off Micheal Okpara Way, Wuse, Abuja","1,000,000"
36026,"  Lekki Right, Lekki, Lagos","2,500,000"
36027,"  Orchid Road, Lekki, Lagos",₦
36028,"  Orchid Hotel By Second Tollgate, Lekki Phase 2, Lekki, Lagos",₦
36029,"  Onakoya Street, Ikosi, Ketu, Lagos",₦
36030,"  Chevron Drive, Lekki, Lagos",₦
36031,"  Lekki Phase 1, Lekki, Lagos",₦
36032,"  Victoria Island Extension, Victoria Island (VI), Lagos",₦
36033,"  Lekki Phase 1, Lekki, Lagos",₦
36034,"  Lekki Phase 1, Lekki, Lagos",₦
36035,"  Adeniji Residential Estate Gra, Ogba, Ikeja, Lagos",₦
36036,"  Lekki Phase 1, Lekki, Lagos",₦
36037,"  Lagos Business School, Olokonla, Ajah, Lagos",₦
36038,"  Fo1, Kubwa, Abuja",₦
36039,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",₦
36040,"  Arab Road Behind Quarry Site, Kubwa, Abuja",₦
36041,"  Petrocam Station Ile Epo Bus Stop Egbe Road, Ejigbo, Lagos",₦
36042,"  Petrocam Gas Station, Along Lagos Road, Epe, Lagos",₦
36043,"  At Petrocam Gas Station, Alakuko, Ifako-Ijaiye, Lagos",₦
36044,"  Petrocam Gas Station, Canoe Bus Stop, Ajao Estate, Oke Afa, Isolo, Lagos",₦
36045,"  Off Bourdillon Road, Old Ikoyi, Ikoyi, Lagos",₦
36046,"  Alapere, Ketu, Lagos",₦
36047,"  Lekki Phase 1, Lekki, Lagos","3,000,000"
36048,"  Festac, Amuwo Odofin, Lagos","17,000,000"
36049,"  Ago Palace, Isolo, Lagos","130,000"
36050,"  Mobil Road, Ilaje, Ajah, Lagos","6,500,000"
36051,"  Odili Road, Trans Amadi, Port Harcourt, Rivers","150,000"
36052,"  By Gilmore, Jahi, Abuja","100,000"
36053,"  Peace Homes, Thomas Estate, Ajah, Lagos","72,000"
36054,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","1,000,000"
36055,"  Canal Estate., Lekki Expressway, Lekki, Lagos","550,000"
36056,"  G.r.a, Gbagada Phase 2, Gbagada, Lagos","6,000,000"
36057,"  Banana Island, Ikoyi, Lagos","250,000"
36058,"  Kubwa, Abuja","180,000"
36059,"  Shell Cooperative, Eneka, Port Harcourt, Rivers","120,000"
36060,"  Bera Estate Chevron, Lekki, Lagos","13,000,000"
36061,"  Apapa Road, Costain, Costain, Yaba, Lagos","1,500,000"
36062,"  Oduduwa Way, Ikeja GRA, Ikeja, Lagos","10,000,000"
36063,"  Ogunlewe, Igbogbo, Ikorodu, Lagos","15,000,000"
36064,"  Orchid Road, Lafiaji, Lekki, Lagos","100,000"
36065,"  Parkview, Ikoyi, Lagos","7,000,000"
36066,"  Orchid Drive, Lekki Phase 2, Lekki, Lagos","6,000,000"
36067,"  Ebute, Ebute, Ikorodu, Lagos","6,600,000"
36068,"  Orchid Drive, Lekki Phase 2, Lekki, Lagos",₦
36069,"  Lbs, Lekki Phase 2, Lekki, Lagos",₦
36070,"  Road, Banana Island, Ikoyi, Lagos",₦
36071,"  Ogujiri Street, Ifako, Gbagada, Lagos",₦
36072,"  Agungi, Lekki, Lagos",₦
36073,"  Oreyo, Igbogbo, Ikorodu, Lagos",₦
36074,"  Bayeku Road, Igbogbo, Ikorodu, Lagos",₦
36075,"  Lekki Phase 1, Lekki, Lagos",₦
36076,"  Banana Island, Ikoyi, Lagos",₦
36077,"  Ofin Road, Igbogbo, Ikorodu, Lagos",₦
36078,"  Lekki Phase 1, Lekki, Lagos",₦
36079,"  Close To Igbogbo B/stop, Igbogbo, Ikorodu, Lagos",₦
36080,"  Adeola Odeku, Victoria Island (VI), Lagos",₦
36081,"  Bayeku Road, Igbogbo, Ikorodu, Lagos",₦
36082,"  Soluyi, Gbagada, Lagos",₦
36083,"  Valley View Estate, Ebute, Ikorodu, Lagos",₦
36084,"  Adeola Odeku, Victoria Island (VI), Lagos",₦
36085,"  Off Ebute Igbogbo Road, Ebute, Ikorodu, Lagos",₦
36086,"  Ibeshe, Ikorodu, Lagos",₦
36087,"  Adeola Odeku, Victoria Island (VI), Lagos",₦
36088,"  Old Ikoyi, Ikoyi, Lagos","3,000,000"
36089,"  Idado, Lekki, Lagos","3,500,000"
36090,"  Old Ikoyi, Ikoyi, Lagos","3,500,000"
36091,"  Banana Island, Ikoyi, Lagos","6,000,000"
36092,"  Adeola Odeku, Victoria Island (VI), Lagos","3,500,000"
36093,"  Old Ikoyi, Ikoyi, Lagos","3,000,000"
36094,"  Adeola Odeku Street, Victoria Island (VI), Lagos","5,000,000"
36095,"  Adeola Odeku, Victoria Island (VI), Lagos","2,000,000"
36096,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","2,600,000"
36097,"  Old Ikoyi, Ikoyi, Lagos","1,500,000"
36098,"  Old Ikoyi, Ikoyi, Lagos","1,700,000"
36099,"  Old Ikoyi, Ikoyi, Lagos","750,000"
36100,"  Off Kingsway, Old Ikoyi, Ikoyi, Lagos","3,000,000"
36101,"  Off Kingsway, Old Ikoyi, Ikoyi, Lagos","550,000"
36102,"  Lekki Phase 1, Lekki, Lagos","1,000,000"
36103,"  Oniru, Victoria Island (VI), Lagos","450,000"
36104,"  Oke Oriya, Agric, Ikorodu, Lagos","900,000"
36105,"  Dideolu's Court, Victoria Island Extension, Victoria Island (VI), Lagos","350,000"
36106,"  Zenith Bank Axis, Gbagada, Lagos","200,000"
36107,"  Off Diya Street, Soluyi, Gbagada, Lagos","3,500,000"
36108,"  Omole Phase 1, Ikeja, Lagos","3,500,000"
36109,"  Along Ui-ojoo Road Onilaro Bus Stop, Ojoo, Ibadan, Oyo",₦
36110,"  Near Citec, Mbora, Abuja",₦
36111,"  Chevron Drive, Lekki, Lagos",₦
36112,"  Lekki Phase 1, Lekki, Lagos",₦
36113,"  Ori Oke, Ori-oke, Ogudu, Lagos",₦
36114,"  Off Fola Osibo, Lekki Phase 1, Lekki, Lagos",₦
36115,"  Off Palace Road, Oniru, Victoria Island (VI), Lagos",₦
36116,"  Jahi, Abuja",₦
36117,"  Lekki Phase 1, Lekki, Lagos",₦
36118,"  Oniru, Victoria Island (VI), Lagos",₦
36119,"  Lekki Phase 1, Lekki, Lagos",₦
36120,"  Lekki Phase 1, Lekki, Lagos",₦
36121,"  Chevron, Lekki, Lagos",₦
36122,"  Oniru, Victoria Island (VI), Lagos",₦
36123,"  Oniru, Victoria Island (VI), Lagos",₦
36124,"  Ajah, Lagos",₦
36125,"  Lekki Phase 1, Lekki, Lagos",₦
36126,"  Lekki Phase 1, Lekki, Lagos",₦
36127,"  Lekki Phase 1, Lekki, Lagos",₦
36128,"  New Oko-Oba, Agege, Lagos",₦
36129,"  Gbagada, Lagos","3,000,000"
36130,"  Oko-oba, Agege, Lagos","6,000,000"
36131,"  Soluyi, Gbagada, Lagos","2,500,000"
36132,"  Bye Agric Bus Stop, Agric, Ikorodu, Lagos","3,000,000"
36133,"  Parkview Estate, Parkview, Ikoyi, Lagos","5,000,000"
36134,"  Bye Agric Bus Stop, Agric, Ikorodu, Lagos","450,000"
36135,"  Bye Agric Bus, Agric, Ikorodu, Lagos","2,300,000"
36136,"  Lekki Phase 1, Lekki, Lagos","1,000,000"
36137,"  Lekki Phase 1, Lekki, Lagos","3,500,000"
36138,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","70,000,000"
36139,"  Lekki Phase 1, Lekki, Lagos","9,000,000"
36140,"  Ikeja GRA, Ikeja, Lagos","3,500,000"
36141,"  Old Ikoyi, Ikoyi, Lagos","5,000,000"
36142,"  Lekki Phase 1, Lekki, Lagos","8,000,000"
36143,"  Graceland Estate, Ajah, Lagos","47,000,000"
36144,"  Idado Ext.,, Lekki Expressway, Lekki, Lagos","300,000"
36145,"  Agungi, Lekki Expressway, Lekki, Lagos","600,000"
36146,"  Agungi, Lekki, Lagos","4,000,000"
36147,"  Oniru, Victoria Island (VI), Lagos","2,000,000"
36148,"  Guzape District, Abuja","3,500,000"
36149,"  Life Camp, Gwarinpa, Abuja","1,500,000"
36150,"  Ikota, Lekki, Lagos",₦
36151,"  Ikota, Lekki, Lagos",₦
36152,"  District, Jahi, Abuja",₦
36153,"  Oral Estate, Chevron Drive, Idado, Lekki, Lagos",₦
36154,"  Mississippi, Maitama District, Abuja",₦
36155,"  Estate, VGC, Lekki, Lagos",₦
36156,"  Tokunbo, Nla, Oke Ira, Ajah, Lagos",₦
36157,"  Chevron Drive, Lekki, Lagos",₦
36158,"  Off Hakeem Dickson Street, Lekki Phase 1, Lekki, Lagos",₦
36159,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",₦
36160,"  Off Ajose Adeogun, Victoria Island Extension, Victoria Island (VI), Lagos",₦
36161,"  Durumi, Abuja",₦
36162,"  Ikate Elegushi, Lekki, Lagos",₦
36163,"  Gilmore, Jahi, Abuja",₦
36164,"  Idoro Road, Uyo, Akwa Ibom",₦
36165,"  Ikate Elegushi, Lekki, Lagos",₦
36166,"  Somitel Estate, Trans Amadi, Port Harcourt, Rivers",₦
36167,"  Efab Queens Estate After Charlie Boy 6th Avenue, Gwarinpa, Abuja",₦
36168,"  Magodo Estate, Ikeja GRA, Ikeja, Lagos",₦
36169,"  Off Banana Island Road, Ikoyi, Lagos",₦
36170,"  Chevron Road, Lekki, Lagos","3,000,000"
36171,"  Off Admiraty Road, Lekki Phase 1, Lekki, Lagos","6,500,000"
36172,"  Facing Lekki Epe Expressway,, Lekki Phase 1, Lekki, Lagos",450
36173,"  Orchid Road, Lekki, Lagos","11,000,000"
36174,"  Chevron Axis, Soluyi, Gbagada, Lagos","2,500,000"
36175,"  Jumofak, Ikorodu, Lagos","5,000,000"
36176,"  Off Fola Osibo Street, Lekki Phase 1, Lekki, Lagos","2,000,000"
36177,"  Off Adebimpe Street, Lekki Phase 1, Lekki, Lagos","350,000"
36178,"  Ilasan, Lekki, Lagos","5,000,000"
36179,"  Ogunfayo Road 2, After Mayfair Gardens Estate, Sangotedo, Ajah, Lagos","3,500,000"
36180,"  Lekki Phase 1, Lekki, Lagos","1,800,000"
36181,"  Nicon Town, Lekki, Lagos","1,700,000"
36182,"  Ogunfayo Road 1, Beside Mayfair Gardens Estate, Sangotedo, Ajah, Lagos","2,000,000"
36183,"  City View Estate, Lokogoma District, Abuja","2,500,000"
36184,"  Behind Gtbank, Abule-tailor Bus Stop., Abule Egba, Agege, Lagos","3,200,000"
36185,"  Sunview Estate, Opposite Crown Estate, Sangotedo, Ajah, Lagos","3,500,000"
36186,"  Ikeja GRA, Ikeja, Lagos","1,800,000"
36187,"  Ogunfayo Road 3, After Mayfair Gardens, Sangotedo, Ajah, Lagos","700,000"
36188,"  Galadimawa, Abuja","2,000,000"
36189,"  City View Estate, Lokogoma District, Abuja","750,000"
36190,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","3,000,000"
36191,"  Oniru, Victoria Island (VI), Lagos",₦
36192,"  Addo Badore Road, Badore, Ajah, Lagos",₦
36193,"  Salem Street Phase1, Ikate Elegushi, Lekki, Lagos",₦
36194,"  Oniru, Victoria Island (VI), Lagos",₦
36195,"  Wuse 2, Abuja",₦
36196,"  Estate, Oniru, Victoria Island (VI), Lagos",₦
36197,"  Osapa, Lekki, Lagos",₦
36198,"  Around Friends Colony, Osapa Ext., Agungi, Lekki, Lagos",₦
36199,"  Oniru Estate, Oniru, Victoria Island (VI), Lagos",₦
36200,"  Oniru, Victoria Island (VI), Lagos",₦
36201,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",₦
36202,"  Lekki Phase 1, Lekki, Lagos",₦
36203,"  Osborne Estate Phase 2, Osborne, Ikoyi, Lagos",₦
36204,"  Off Bourdillon Road, Ikoyi, Lagos",₦
36205,"  Orchid Road, Lekki Phase 2, Lekki, Lagos",₦
36206,"  Oniru, Victoria Island (VI), Lagos",₦
36207,"  Ikota, Lekki, Lagos",₦
36208,"  Graceland Estate Ajiwe, Ajiwe, Ajah, Lagos",₦
36209,"  Cowrie Creek Estate, Down Spar Road, Ikate Lekki, Ikate Elegushi, Lekki, Lagos",₦
36210,"  Marwa/elf, Lekki Phase 1, Lekki, Lagos",₦
36211,"  Off Admiralty Road, Lekki Phase 1, Lekki, Lagos","3,000,000"
36212,"  Owerri, Imo","900,000"
36213,"  Ilasan, Lekki, Lagos","2,500,000"
36214,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","5,000,000"
36215,"  Amaechi Oghene Str, Off Jose Maria Escriva,lekki Right 3rd Roundabout, Ikate Elegushi, Lekki, Lagos","4,000,000"
36216,"  Chevy View Estate, Chevron, Lekki, Lagos","2,800,000"
36217,"  Cluster Building Of Chevron Alternative Route, Chevron., Lekki, Lagos","2,400,000"
36218,"  Onike, Yaba, Lagos","4,500,000"
36219,"  Oniru, Victoria Island (VI), Lagos","1,800,000"
36220,"  GRA, Ogudu, Lagos","600,000"
36221,"  Orchid Hotel Road, Off Lekki Epe Expressway, Lekki Expressway, Lekki, Lagos","3,500,000"
36222,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","700,000"
36223,"  Folashade Awe Street Off Jide Sawyer Avenue Lekki Right Side, Lekki Phase 1, Lekki, Lagos","4,000,000"
36224,"  Primewater Views Apartment, Off Freedom Way, Ikate Elegushi, Lekki, Lagos","1,000,000"
36225,"  Spring Bay Estate, Ikate Elegushi, Lekki, Lagos","1,300,000"
36226,"  Esther Adeleke Street Lekki Phase 1, Lekki Phase 1, Lekki, Lagos","1,500,000"
36227,"  Lekki Scheme 2, Ajah, Lagos","2,500,000"
36228,"  Lafiaji, Lekki, Lagos","2,800,000"
36229,"  Ikate, Ikate Elegushi, Lekki, Lagos","3,000,000"
36230,"  Beside Northwest Filling Station, VGC, Lekki, Lagos","2,500,000"
36231,"  Good News Estate, Sangotedo, Ajah, Lagos","900,000"
36232,"  Ikota, Lekki, Lagos",₦
36233,"  GRA, Magodo, Lagos",₦
36234,"  Off Ado Road, Ado, Ajah, Lagos",₦
36235,"  Gilmore Junction, Jahi, Abuja",₦
36236,"  Lekki Palm City, Ajah, Lagos",₦
36237,"  Femi Okunnu Estate, Osapa, Lekki, Lagos",₦
36238,"  Efab Queens Estate 6th Avenue After Charlie Boy., Gwarinpa, Abuja",₦
36239,"  6th Avenue After Charlie Boy By 64 Crescent., Gwarinpa, Abuja",₦
36240,"  6th Avenue By 62 Road After Charlie Boy, Gwarinpa, Abuja",₦
36241,"  Ikate Elegushi, Lekki, Lagos",₦
36242,"  Oregun, Ikeja, Lagos",₦
36243,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",₦
36244,"  Ado, Ajah, Lagos",₦
36245,"  Lekki Phase 1, Lekki, Lagos",₦
36246,"  Four Points By Oriental, Oniru, Victoria Island (VI), Lagos",₦
36247,"  Off Emmanuel Abimbola, Lekki, Lagos",₦
36248,"  Orchid Road, Lekki, Lagos",₦
36249,"  Osapa, Lekki, Lagos",₦
36250,"  Agungi, Lekki, Lagos",₦
36251,"  Chevron, Lekki, Lagos",₦
36252,"  Olive Estate, Ago Palace, Isolo, Lagos","3,000,000"
36253,"  Agungi, Lekki, Lagos","5,000,000"
36254,"  Harmony Estate, Oke-ira, Ado, Ajah, Lagos","3,000,000"
36255,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","1,700,000"
36256,"  Brains And Hammers City Estate, Life Camp, Gwarinpa, Abuja","3,000,000"
36257,"  Lbs, Sangotedo, Ajah, Lagos","600,000"
36258,"  Ago Palace, Isolo, Lagos","5,000,000"
36259,"  Ikate Elegushi, Lekki, Lagos","8,000,000"
36260,"  Ikota, Lekki, Lagos","3,000,000"
36261,"  Lekki Phase 1, Lekki, Lagos","3,500,000"
36262,"  Millennium Estate, Gbagada, Gbagada, Lagos","3,000,000"
36263,"  Ado Road, Ado, Ajah, Lagos","4,000,000"
36264,"  Lekki Phase 1, Lekki, Lagos","2,500,000"
36265,"  Chevron, Lekki Phase 2, Lekki, Lagos","1,500,000"
36266,"  Aromire Road Off Allen Round About, Allen, Ikeja, Lagos","3,500,000"
36267,"  Aromire By Allen Junction, Ikeja, Lagos","9,000,000"
36268,"  Ikate Elegushi, Lekki Expressway, Lekki, Lagos","350,000"
36269,"  Hopeville Estate, Sangotedo, Ajah, Lagos","1,000,000"
